Internações SUS
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2008-2016
"Munic Resid SP";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Total"
"352680 Lençóis Paulista";0;0;1;0;0;0;0;0;0;1
"352690 Limeira";30;8;6;8;8;13;7;7;10;97
"352700 Lindóia";3;1;4;1;6;1;0;0;1;17
"352710 Lins";2;0;0;2;0;1;0;0;1;6
"352720 Lorena";6;13;27;9;23;17;20;14;18;147
"352730 Louveira";0;0;0;0;1;0;0;0;0;1
"352740 Lucélia";3;0;0;0;0;0;0;1;0;4
"352750 Lucianópolis";0;0;0;0;1;0;0;0;0;1
"352790 Lutécia";0;0;2;2;0;0;0;1;3;8
"352820 Macedônia";1;0;0;0;0;1;0;0;0;2
"352840 Mairinque";0;0;0;0;0;0;0;0;1;1
"352850 Mairiporã";6;1;0;0;0;0;0;0;0;7
"352860 Manduri";0;0;0;0;0;1;0;1;0;2
"352880 Maracaí";3;2;3;0;6;0;0;1;1;16
"352900 Marília";3;0;3;1;1;0;0;0;0;8
"352910 Marinópolis";0;0;0;0;0;0;2;1;0;3
"352930 Matão";1;0;5;13;4;5;0;0;0;28
"352940 Mauá";2;1;1;1;1;1;0;1;0;8
"352960 Meridiano";2;3;1;0;1;0;2;0;0;9
"352965 Mesópolis";0;0;0;0;0;0;0;1;0;1
"352970 Miguelópolis";11;4;31;5;11;2;0;0;0;64
"352980 Mineiros do Tietê";3;3;0;2;5;3;1;0;0;17
"353000 Mira Estrela";0;1;0;0;1;0;0;1;0;3
"352990 Miracatu";0;0;0;0;0;0;1;2;0;3
"353010 Mirandópolis";1;1;2;0;2;1;0;0;0;7
"353020 Mirante do Paranapanema";0;0;0;0;1;0;0;0;0;1
"353030 Mirassol";0;0;0;0;1;0;5;1;0;7
"353050 Mococa";23;13;5;2;2;0;1;0;0;46
"353060 Mogi das Cruzes";1;0;0;1;1;0;1;0;4;8
"353070 Mogi Guaçu";1;7;25;18;3;0;5;0;0;59
"353080 Moji Mirim";0;1;0;2;2;1;3;3;2;14
"353090 Mombuca";4;1;0;2;4;0;0;0;0;11
"353110 Mongaguá";11;7;4;5;3;6;0;0;4;40
